Centroid X µm,Centroid Y µm,DAPI: Cell: Mean,CD34: Cell: Mean,CD31: Cell: Mean,CD4: Cell: Mean,CD8: Cell: Mean,CD21: Cell: Mean,CD68: Cell: Mean,CD38: Cell: Mean,HLA-DR: Cell: Mean,CD3e: Cell: Mean,CD79a: Cell: Mean,Ki67: Cell: Mean,Bcl-2: Cell: Mean,MPO: Cell: Mean,CD20: Cell: Mean
8790.9,2439.1,1159.915,169.4052,0.0196,942.2418,556.2679,285.0262,1033.9542,381.5033,1043.3007,1258.5752,452.2549,75.4118,16997.2344,129.0588,4163.647
8817.8,2437.2,1629.6171,157.2928,0.2387,2055.8965,292.1306,114.2973,1015.3649,334.3919,283.3108,2668.7073,289.009,70.7342,9172.9238,69.4775,1948.428
8838.2,2437.8,1168.8687,50.9124,0.0365,1569.1022,90.2336,108.7226,3362.7664,184.0292,486.7226,817.8175,121.4672,128.438,11970.8467,33.6131,1820.1313
8808.2,2438.1,1144.3773,174.7736,0.1541,1101.2861,405.1258,141.7862,1268.8522,217.6132,329.7138,1184.8679,365,61.0094,16579.5098,68.4811,1382.5283
8887,2438.2,1315.8429,264.284,348.1692,1564.7281,86.2417,81.997,1089.9819,198.3051,201.6496,1625.9033,148.4079,73.8157,4793.9819,73.574,171.0453
8863.6,2437.6,1061.7346,93.1003,0.699,1325.9677,262.3948,68.9417,826.1586,177.0129,207.4531,1491.4077,226.0906,198.6019,9305.252,29.5146,1237.1715
8903,2438,1020.8358,115.9642,0.0478,2101.3284,300.3761,68.7194,1560.609,250.3015,213.606,1965.6,206.2627,71.3254,6562.4985,58.1164,1756.8507
8944.5,2437.5,1403.2373,155.3136,4.7119,2773.4575,3306.4873,86.3771,1391.7712,531.4534,487.1526,4883.7754,161.9576,77.2415,5296.415,87.9195,1077.4576
8876.1,2438.4,969.8701,386.6968,314.6575,642.0551,55.7953,75.4528,1328.7599,126.6535,317.4134,314.2126,72.5,77.7992,3944.6929,285.2362,302.6378
8779.7,2438.4,1486.3187,184.0934,0,1317.5,236.022,943.7802,1061.4066,460.3571,932.5385,1170.8242,434.8901,105.5769,15391.1592,109.0604,3678.7856
8845.4,2438.8,1078.7301,40.9947,0.0159,1206.2963,36.6455,63.9418,835.3651,85.1005,210.5714,1404.6825,54.418,67.4286,4675.3809,5.5291,896.418
8913.8,2438.8,1712.1455,200.5667,0.1121,3209.603,196.2545,137.4121,2026.0454,346.3061,318.9939,5399.2695,309.697,116.1061,10944.9453,113.5727,1225.6484
8751.1,2439.6,1110.0714,154.7262,0,1791.512,132.1429,2067.4524,1432.7024,503.631,1259.6548,1842.5358,455.5833,75.9167,13898.0713,120.131,4343.4287
8757,2439.6,2035.348,300.4706,0.0147,1716.652,152.7059,826.8823,1459.4706,520.7598,841.853,2334.9363,593.951,82.8186,17133.4844,150.5882,2784.2207
8762.9,2439,1876.6224,252.6225,0,1532.2245,179,716.4184,1301.3572,416.6735,672.8163,1709.3265,592.9286,75.3673,17112.377,145.6837,2593.8877
8800.1,2441.9,1118.2916,159.6296,0.0787,1128.8472,248.7454,489.6111,927.7222,323.4583,644.9537,1034.7177,464.2268,44.2315,15158.1992,106.8704,4853.9165
8851.8,2442.7,1479.8274,80.9345,0,1308.5654,105.8869,103.744,1061.613,118.0357,264.994,1371.1072,119.494,67.369,7965.3394,35.2321,1434.8096
8965.3,2442.4,1196.8831,95.2727,5.8701,2028.9567,731.1645,98.8571,1216.7705,286.8182,583.7143,1938.8398,174.9957,58.4502,6542.0347,59.0476,1936.1904
8739.5,2442.2,911.7933,115.4615,0,1159.0913,139.5962,146.9327,909.1779,276.4856,565.3846,1077.9519,283.8558,28.3702,8678.8896,82.7644,2852.1489
8771.3,2442.3,1586.3417,235.9648,0,1304.8844,317.5779,811.4372,1242.392,539.2412,925.402,1137.6282,635.0653,71.2864,20607.2617,144.1105,4123.2163
8819.1,2443.2,2005.3296,244.5587,14.2402,3006.5754,2166.1731,146.5754,1227.9944,569.6369,339.0782,5323.9219,370.7877,147.514,8447.4746,122.1117,1438.9833
8940.4,2442.8,2045.3151,209.2808,4.8356,2566.7534,1990.8562,84.9452,1478.8356,456.5685,403.6096,4143.5684,214.6918,100.0753,4986.6094,87.7466,638.2672
8834,2442.9,1377.7544,107.8684,2.5351,2023.307,978.193,149.2105,1208.4736,294.614,433.3947,2375.3245,309.7982,66.9035,14412.3418,95.2281,2406.4036
8923.5,2443.1,1303.9615,164.0363,2.2094,2539.4551,860.9829,90.3633,3293.6838,407.8526,572.25,2661.7886,252.7051,77.3867,9449.2627,88.9658,735.6902
8955.6,2443.4,1355.3064,125.5916,0.3873,2221.8767,2040.824,80.6373,3402.1372,269.6408,335.2852,2845.3557,149.6373,733.4401,5421.8804,70.912,832.9683
8948.8,2444.5,1201.9093,130.2047,0.6813,1175.576,1610.0059,68.4649,2473.228,299.3187,347.2134,1901.3422,191.9094,125.5292,4689.4092,67.5906,308.7252
8827.2,2444,2108.6143,220.3228,0.5906,3224.6143,405.0827,134.1024,1190.3503,460.5669,334.3071,4359.4331,382.2205,85.0709,7015.7007,108.748,1552.3544
8783.9,2443.9,1657.1501,212.0307,0,815.2526,155.0375,308.0512,1040.0239,361.7543,769.5699,652.628,397.8532,1577.7167,11904.5977,129.1707,2296.3481
