Centroid X µm,Centroid Y µm,DAPI: Cell: Mean,CD34: Cell: Mean,CD31: Cell: Mean,CD4: Cell: Mean,CD8: Cell: Mean,CD21: Cell: Mean,CD68: Cell: Mean,CD38: Cell: Mean,HLA-DR: Cell: Mean,CD3e: Cell: Mean,CD79a: Cell: Mean,Ki67: Cell: Mean,Bcl-2: Cell: Mean,MPO: Cell: Mean,CD20: Cell: Mean
1523.9,3474.8,601.0446,92.119,0.506,546.4375,49.119,21.497,817.0595,24.875,33.9762,139.1518,175.6101,7.5327,2958.8215,72.3631,2065.2261
1411.7,3476.2,892.3486,27.3886,2.7657,435.2457,10.7314,57.0057,1053.84,3.08,37.3829,52.5943,227.3657,40.0857,6853.6973,59.2857,1621.6115
1601,3478.2,916.5527,90.1319,1.5484,1327.0099,282.4813,27.0143,2509.1033,27.489,19.6308,300.5527,180.0352,85.1297,1780.6285,45.5209,1642.9066
1352.6,3475.9,1310.3955,58.0389,2.9579,1188.7343,7.4149,113.5673,1284.5948,4,37.6288,374.6013,284.1475,127.6856,7207.564,113.41,2592.9692
1467.6,3477.6,861.6085,40.7052,1.0695,658.4939,17.3465,77.384,1560.4517,9.0732,34.2967,164.9991,222.2667,38.107,3972.1558,60.9258,1950.0356
1444.5,3479.4,879.3461,48.7495,1.8493,742.4501,5.7983,84.8535,3147.1274,8.5053,61.0552,52.1083,429.6582,13.9873,7936.5352,87.7516,3115.8088
1433.8,3479.7,716.4963,13.8074,1.8519,419.5852,0.037,83.4,1212.4445,2.7037,59.7407,46.6815,359.0222,15.8296,7846.1333,105.4,2693.9629
1589,3480.9,1052.4451,76.451,0.8887,763.4481,38.9377,30.4585,2285.9673,12.0579,19.3012,125.276,303.184,111.8457,5208.9824,64.4926,2692.2419
1360.2,3481.8,1253.3042,49.7846,2.7199,2033.3298,9,83.7831,1297.0302,7.0994,33.363,550.1085,302.4548,777.2199,5526.4893,146.2515,2386.9216
1573.6,3485.2,937.9321,178.1654,23.3936,606.9577,71.6808,22.1321,1928.8295,32.7192,17.7013,102.768,223.4872,348.5551,2843.905,85.0833,2240.3
1523.9,3485.9,607.8967,112.462,0.8499,375.2036,72.1974,21.2385,1780,37.3531,43.2814,57.9502,223.8095,4.7428,3894.8,60.6426,2270.4495
1477.6,3486.6,777.4087,96.9623,0.6817,964.6478,49.2015,40.5122,1295.8606,29.3051,47.0923,354.6309,414.0396,314.6177,4700.9019,80.5141,3007.2749
1408.1,3486.3,1107.2816,43.6526,2.6053,1179.5242,10.0051,109.0267,1665.2528,4.8273,43.3196,379.3967,340.9157,480.0678,5341.6147,126.2117,2863.2878
1454.6,3487.4,836.6885,47.1377,3.1737,720.5995,13.714,56.5487,1784.0403,5.9831,34.1335,114.5233,153.178,87.3432,3712.7097,53.7987,1944.6144
1340.9,3489,963.8951,22.9985,2.7466,670.925,3.2879,148.3073,1083.4167,2.1454,54.075,109.3313,379.7017,120.6477,7697.7017,104.9145,2770.0688
1394.3,3488.7,1096.1759,34.2886,2.6173,911.5093,3.7994,99.2407,1553.9707,4.9552,59.1296,290.9383,349.6883,28.9506,5569.2456,112.9522,3400.1143
1439.8,3489.9,823.9059,54.8285,2.7134,1022.4854,21.5314,35.4289,962.1171,12.272,44.4226,256.4937,230.1904,131.0962,3732.9978,74.7092,2244.4685
1584.2,3491.4,1011.4143,85.2333,3.8143,1292.3595,40.9071,28.169,2144.6262,17.0619,13.6095,229.8071,175.3095,201.6024,4028.6667,128.9119,1595.8643
1359.2,3490.2,1145.1018,41.0689,3.6856,1099.5898,0.6707,81.3862,1448.8802,5.3982,49.7575,225.4371,372.0749,195.8982,7612.6377,111.7725,2537.7036
1383.9,3489.6,1374.7324,80.5302,1.9821,1379.447,15.3817,87.6444,1272.2904,8.9152,29.6737,291.5954,295.9266,843.5057,4442.0508,127.124,2465.5498
1426.8,3491.6,944.5456,39.4046,3.6252,571.7562,56.4395,52.9486,1034.5125,4.7032,24.6202,133.6949,168.1443,123.8939,4174.2305,65.0332,1681.1824
1493.3,3493.8,731.8447,77.2196,0.5772,813.3519,40.2656,21.2148,3783.4199,24.0393,46.5129,186.0863,273.8773,8.4161,2672.9548,48.5417,2087.98
1365,3494.3,966.8416,23.8861,2.901,446.3861,4.9109,68.401,1278.4109,1.3812,22.3069,36.5297,179.8911,125.5446,4923.8071,94.5297,1637.5198
1594.6,3495.1,971.6361,106.7679,3.8005,448.8833,425.4956,30.8231,1238.0778,31.7917,36.4881,183.527,223.9172,130.6186,4775.8521,50.5583,2099.2146
1453.3,3497.2,820.0579,53.5976,2.5244,956,10.9116,53.3018,1529.1555,7.439,25.3567,121.6402,153.2531,769.3079,3335.4451,63.1341,1981.2103
1350.4,3497.5,1111.957,26.9355,5.707,708.6309,5.5527,70.1914,2497.1953,4.9238,52.3125,61.1465,460.0664,21.9258,6659.7598,123.8613,2978.3262
1561.6,3498.4,712.9018,177.4004,42.6367,403.0189,84.6655,18.082,1569.7026,20.467,16.6802,75.5021,168.5028,277.9846,1933.1753,52.5203,1957.6627
1320.3,3499.1,1002.4231,28.0648,2.2146,752.7409,14.5911,191.1113,1089.338,2.8421,39.8563,80.6822,300.3502,684.0952,4794.6763,114.8036,3034.0911
1388.5,3499.7,1356.7955,66.4475,4.2652,848.3204,5.3398,87.0387,1304.7513,4.732,35.0608,259.9144,257.7376,165.547,4862.5605,113.8591,2303.9558
1422.9,3500.4,1081.8844,80.4595,6.1532,824.2197,349.7399,89.6792,1206.4769,13.8064,46.8006,519.1532,287.6416,35.5202,3470.1648,109.4162,3028.7573
1360.4,3500.7,1022.7672,37.1078,2.8966,1032.2716,0.319,68.8017,2780.2456,10.3793,76.3879,259.0776,447.6767,11.5086,5553.1636,74.0043,3616.7112
1576.3,3500.2,789.4585,74.9528,1.4679,665.634,46.3528,32.7774,1731.1415,25.6566,41.9226,98.3736,310.7227,40.2717,5796.6924,66.9679,2333.0906
1413.3,3500.9,885.5225,69.1775,3.165,751.4075,19.1925,72.98,1297.9825,14.9475,45.5,164.815,242.4125,38.2725,4498.9248,101.58,2568.9399
1443.4,3500.4,817.0888,58.6706,1.8995,788.014,2.4907,90.993,1396.1215,7.6822,63.7967,118.1565,421.7804,350.8271,6804.0933,138.472,4426.2852
1551.9,3501.9,732.6833,88.65,1.0444,501.3333,513.5593,16.0167,2305.8057,27.2759,28.7963,132.0778,186.6296,312.1352,2399.8647,60.3278,2329.1628
1467.5,3502,882.9376,76.9763,0.8585,1036.6134,37.2419,21.1447,2493.2744,20.7605,47.0775,221.4624,330.0964,23.2767,4666.8203,79.1336,2612.4736
1377.4,3502.5,953.1977,39.6787,4.0019,772.0513,2.654,67.249,2664.4543,5.3802,37.2586,157.6445,199.2833,41.8688,3864.9163,77.3802,2031.2395
1540.9,3501.8,729.489,101.5629,3.9405,573.4651,210.7491,17.784,1390.4387,19.3223,19.693,127.3495,155.8053,21.9167,2259.9839,44.767,1345.8699
1366.9,3504,963.1478,51.4652,3.7609,468.8696,4.8783,71.2609,1850.1913,6.7783,41.0609,38.5696,441.4783,19.0087,6233.7173,109.1565,2301.7
1494.9,3506,602.7374,127.1264,0.5575,1033.5332,92.4052,25.3339,4841.7017,53.6062,45.9368,191.8282,246.9092,8.8395,3039.0957,74.825,2489.4829
1401.5,3505.3,868.2864,56.2888,3.4153,701.5107,4.7112,60.5107,1132.5752,12.1432,48.1623,116.4415,284.8186,92.5322,5193.0547,82.0191,2737.845
1456,3505.1,1079.0367,33.2171,4.2905,1688.9266,2.0275,40.9235,3156.1926,1.948,18.9297,251.4557,184.2324,57.315,3886.217,319.9541,1684.847
1386.3,3506.7,1033.881,56.5437,2.9127,748.6508,2.0952,122.0595,1072.9642,7.9127,33.1865,212.3651,201.0833,358.4286,3805.5635,96.7897,2544.7898
1586,3509.8,830.3853,96.9114,0.7285,361.8731,69.7201,24.7257,992.9244,28.1894,21.8228,75.7229,247.1241,23.8022,2844.0076,60.3032,1938.8312
1335,3508.1,1081.5498,37.8914,2.2036,1556.5453,8.6154,72.4706,1318.5114,5.991,49.7851,384.1222,316.0475,75.5498,5399.853,128.6154,2696.0271
